var,all_models_p_05,all_models_coef_pos_05,all_models_coef_neg_05,all_models_coef_min_05,all_models_coef_max_05,all_models_p_01,all_models_coef_pos_01,all_models_coef_neg_01,all_models_coef_min_01,all_models_coef_max_01,var,Y_models_p_05,Y_models_coef_pos_05,Y_models_coef_neg_05,Y_models_coef_min_05,Y_models_coef_max_05,Y_models_p_01,Y_models_coef_pos_01,Y_models_coef_neg_01,Y_models_coef_min_01,Y_models_coef_max_01,var,Q_models_p_05,Q_models_coef_pos_05,Q_models_coef_neg_05,Q_models_coef_min_05,Q_models_coef_max_05,Q_models_p_01,Q_models_coef_pos_01,Q_models_coef_neg_01,Q_models_coef_min_01,Q_models_coef_max_01,var,B_models_p_05,B_models_coef_pos_05,B_models_coef_neg_05,B_models_coef_min_05,B_models_coef_max_05,B_models_p_01,B_models_coef_pos_01,B_models_coef_neg_01,B_models_coef_min_01,B_models_coef_max_01,var,C_models_p_05,C_models_coef_pos_05,C_models_coef_neg_05,C_models_coef_min_05,C_models_coef_max_05,C_models_p_01,C_models_coef_pos_01,C_models_coef_neg_01,C_models_coef_min_01,C_models_coef_max_01,var,V_models_p_05,V_models_coef_pos_05,V_models_coef_neg_05,V_models_coef_min_05,V_models_coef_max_05,V_models_p_01,V_models_coef_pos_01,V_models_coef_neg_01,V_models_coef_min_01,V_models_coef_max_01,var,SSV_models_p_05,SSV_models_coef_pos_05,SSV_models_coef_neg_05,SSV_models_coef_min_05,SSV_models_coef_max_05,SSV_models_p_01,SSV_models_coef_pos_01,SSV_models_coef_neg_01,SSV_models_coef_min_01,SSV_models_coef_max_01,var,PP_models_p_05,PP_models_coef_pos_05,PP_models_coef_neg_05,PP_models_coef_min_05,PP_models_coef_max_05,PP_models_p_01,PP_models_coef_pos_01,PP_models_coef_neg_01,PP_models_coef_min_01,PP_models_coef_max_01,var,l1_models_p_05,l1_models_coef_pos_05,l1_models_coef_neg_05,l1_models_coef_min_05,l1_models_coef_max_05,l1_models_p_01,l1_models_coef_pos_01,l1_models_coef_neg_01,l1_models_coef_min_01,l1_models_coef_max_01,var,l2_models_p_05,l2_models_coef_pos_05,l2_models_coef_neg_05,l2_models_coef_min_05,l2_models_coef_max_05,l2_models_p_01,l2_models_coef_pos_01,l2_models_coef_neg_01,l2_models_coef_min_01,l2_models_coef_max_01,var,l3_models_p_05,l3_models_coef_pos_05,l3_models_coef_neg_05,l3_models_coef_min_05,l3_models_coef_max_05,l3_models_p_01,l3_models_coef_pos_01,l3_models_coef_neg_01,l3_models_coef_min_01,l3_models_coef_max_01,var,l4_models_p_05,l4_models_coef_pos_05,l4_models_coef_neg_05,l4_models_coef_min_05,l4_models_coef_max_05,l4_models_p_01,l4_models_coef_pos_01,l4_models_coef_neg_01,l4_models_coef_min_01,l4_models_coef_max_01
sp75_705_2,5,5,0,1.422918,4.983102,3,3,0,1.422918,3.918867,sp75_705_2,1,1,0,1.422918,1.422918,1,1,0,1.422918,1.422918,sp75_705_2,4,4,0,1.82447,4.983102,2,2,0,2.142739,3.918867,sp75_705_2,2,2,0,1.82447,4.983102,0,0,0,NA,NA,sp75_705_2,3,3,0,1.422918,3.918867,3,3,0,1.422918,3.918867,sp75_705_2,5,5,0,1.422918,4.983102,3,3,0,1.422918,3.918867,sp75_705_2,0,0,0,NA,NA,0,0,0,NA,NA,sp75_705_2,0,0,0,NA,NA,0,0,0,NA,NA,sp75_705_2,0,0,0,NA,NA,0,0,0,NA,NA,sp75_705_2,1,1,0,2.142739,2.142739,1,1,0,2.142739,2.142739,sp75_705_2,1,1,0,1.82447,1.82447,0,0,0,NA,NA,sp75_705_2,3,3,0,1.422918,4.983102,2,2,0,1.422918,3.918867
sp75_705_3,13,10,3,1.45E-12,9.344198,10,8,2,1.45E-12,9.344198,sp75_705_3,5,4,1,0.6813067,1.62248,2,2,0,1.185299,1.62248,sp75_705_3,8,6,2,1.45E-12,9.344198,8,6,2,1.45E-12,9.344198,sp75_705_3,2,2,0,1.051724,9.344198,2,2,0,1.051724,9.344198,sp75_705_3,11,8,3,1.45E-12,2.224974,8,6,2,1.45E-12,2.224974,sp75_705_3,7,5,2,1.45E-12,9.344198,6,5,1,1.45E-12,9.344198,sp75_705_3,0,0,0,NA,NA,0,0,0,NA,NA,sp75_705_3,6,5,1,0.6161064,1.051724,4,3,1,0.6161064,1.051724,sp75_705_3,3,0,3,1.45E-12,0.6813067,2,0,2,1.45E-12,0.6161064,sp75_705_3,4,4,0,1.011853,1.728336,3,3,0,1.016124,1.728336,sp75_705_3,6,6,0,1.004549,9.344198,5,5,0,1.021117,9.344198,sp75_705_3,0,0,0,NA,NA,0,0,0,NA,NA
sp75_705_8,10,0,10,3.11E-11,0.9933442,9,0,9,3.11E-11,0.9933442,sp75_705_8,6,0,6,1.23E-10,0.9933442,5,0,5,1.23E-10,0.9933442,sp75_705_8,4,0,4,3.11E-11,4.88E-09,4,0,4,3.11E-11,4.88E-09,sp75_705_8,1,0,1,0.9698001,0.9698001,0,0,0,NA,NA,sp75_705_8,9,0,9,3.11E-11,0.9933442,9,0,9,3.11E-11,0.9933442,sp75_705_8,0,0,0,NA,NA,0,0,0,NA,NA,sp75_705_8,8,0,8,3.11E-11,0.8459247,8,0,8,3.11E-11,0.8459247,sp75_705_8,2,0,2,0.9698001,0.9933442,1,0,1,0.9933442,0.9933442,sp75_705_8,2,0,2,8.40E-10,3.99E-09,2,0,2,8.40E-10,3.99E-09,sp75_705_8,2,0,2,1.23E-10,4.88E-09,2,0,2,1.23E-10,4.88E-09,sp75_705_8,2,0,2,4.22E-09,0.8459247,2,0,2,4.22E-09,0.8459247,sp75_705_8,4,0,4,3.11E-11,0.9933442,3,0,3,3.11E-11,0.9933442
sp75_706,5,0,5,0.6509234,0.9743328,1,0,1,0.7122314,0.7122314,sp75_706,4,0,4,0.7122314,0.9743328,1,0,1,0.7122314,0.7122314,sp75_706,1,0,1,0.6509234,0.6509234,0,0,0,NA,NA,sp75_706,3,0,3,0.6509234,0.7391002,1,0,1,0.7122314,0.7122314,sp75_706,2,0,2,0.927134,0.9743328,0,0,0,NA,NA,sp75_706,1,0,1,0.9743328,0.9743328,0,0,0,NA,NA,sp75_706,4,0,4,0.6509234,0.927134,1,0,1,0.7122314,0.7122314,sp75_706,0,0,0,NA,NA,0,0,0,NA,NA,sp75_706,0,0,0,NA,NA,0,0,0,NA,NA,sp75_706,0,0,0,NA,NA,0,0,0,NA,NA,sp75_706,1,0,1,0.7391002,0.7391002,0,0,0,NA,NA,sp75_706,4,0,4,0.6509234,0.9743328,1,0,1,0.7122314,0.7122314
sp75_800,2,0,2,0.9975668,0.9978627,0,0,0,NA,NA,sp75_800,2,0,2,0.9975668,0.9978627,0,0,0,NA,NA,sp75_800,0,0,0,NA,NA,0,0,0,NA,NA,sp75_800,0,0,0,NA,NA,0,0,0,NA,NA,sp75_800,2,0,2,0.9975668,0.9978627,0,0,0,NA,NA,sp75_800,0,0,0,NA,NA,0,0,0,NA,NA,sp75_800,0,0,0,NA,NA,0,0,0,NA,NA,sp75_800,2,0,2,0.9975668,0.9978627,0,0,0,NA,NA,sp75_800,1,0,1,0.9975668,0.9975668,0,0,0,NA,NA,sp75_800,1,0,1,0.9978627,0.9978627,0,0,0,NA,NA,sp75_800,0,0,0,NA,NA,0,0,0,NA,NA,sp75_800,0,0,0,NA,NA,0,0,0,NA,NA
sp75_800_2,16,1,15,5.83E-11,1.011773,14,1,13,5.83E-11,1.011773,sp75_800_2,7,1,6,5.83E-11,1.011773,5,1,4,5.83E-11,1.011773,sp75_800_2,9,0,9,1.09E-09,0.7211009,9,0,9,1.09E-09,0.7211009,sp75_800_2,3,0,3,0.1854298,0.5502697,1,0,1,0.5502697,0.5502697,sp75_800_2,13,1,12,5.83E-11,1.011773,13,1,12,5.83E-11,1.011773,sp75_800_2,2,0,2,0.1854298,0.210152,0,0,0,NA,NA,sp75_800_2,9,0,9,5.83E-11,0.9014642,9,0,9,5.83E-11,0.9014642,sp75_800_2,5,1,4,0.3529712,1.011773,5,1,4,0.3529712,1.011773,sp75_800_2,4,0,4,2.49E-10,0.6544813,3,0,3,2.49E-10,0.6544813,sp75_800_2,4,0,4,5.83E-11,0.7211009,3,0,3,5.83E-11,0.7211009,sp75_800_2,4,1,3,1.41E-10,1.011773,4,1,3,1.41E-10,1.011773,sp75_800_2,4,0,4,0.3529712,0.9014642,4,0,4,0.3529712,0.9014642
sp75_800_3,4,3,1,0.1533012,1.01533,0,0,0,NA,NA,sp75_800_3,3,3,0,1.004696,1.01533,0,0,0,NA,NA,sp75_800_3,1,0,1,0.1533012,0.1533012,0,0,0,NA,NA,sp75_800_3,3,3,0,1.004696,1.01533,0,0,0,NA,NA,sp75_800_3,1,0,1,0.1533012,0.1533012,0,0,0,NA,NA,sp75_800_3,0,0,0,NA,NA,0,0,0,NA,NA,sp75_800_3,1,0,1,0.1533012,0.1533012,0,0,0,NA,NA,sp75_800_3,3,3,0,1.004696,1.01533,0,0,0,NA,NA,sp75_800_3,2,1,1,0.1533012,1.01463,0,0,0,NA,NA,sp75_800_3,1,1,0,1.01533,1.01533,0,0,0,NA,NA,sp75_800_3,1,1,0,1.004696,1.004696,0,0,0,NA,NA,sp75_800_3,0,0,0,NA,NA,0,0,0,NA,NA
sp75_800_4,9,8,1,4.55E-09,13.37887,5,4,1,4.55E-09,10.89325,sp75_800_4,3,3,0,1.002922,3.867156,2,2,0,3.857473,3.867156,sp75_800_4,6,5,1,4.55E-09,13.37887,3,2,1,4.55E-09,10.89325,sp75_800_4,1,1,0,13.37887,13.37887,0,0,0,NA,NA,sp75_800_4,8,7,1,4.55E-09,10.89325,5,4,1,4.55E-09,10.89325,sp75_800_4,1,1,0,1.279998,1.279998,1,1,0,1.279998,1.279998,sp75_800_4,6,5,1,4.55E-09,13.37887,4,3,1,4.55E-09,10.89325,sp75_800_4,2,2,0,1.002922,1.00422,0,0,0,NA,NA,sp75_800_4,6,6,0,1.002922,13.37887,3,3,0,1.279998,10.89325,sp75_800_4,2,1,1,4.55E-09,3.857473,2,1,1,4.55E-09,3.857473,sp75_800_4,1,1,0,3.786319,3.786319,0,0,0,NA,NA,sp75_800_4,0,0,0,NA,NA,0,0,0,NA,NA
sp75_801,1,0,1,0.5584816,0.5584816,0,0,0,NA,NA,sp75_801,1,0,1,0.5584816,0.5584816,0,0,0,NA,NA,sp75_801,0,0,0,NA,NA,0,0,0,NA,NA,sp75_801,0,0,0,NA,NA,0,0,0,NA,NA,sp75_801,1,0,1,0.5584816,0.5584816,0,0,0,NA,NA,sp75_801,0,0,0,NA,NA,0,0,0,NA,NA,sp75_801,1,0,1,0.5584816,0.5584816,0,0,0,NA,NA,sp75_801,0,0,0,NA,NA,0,0,0,NA,NA,sp75_801,1,0,1,0.5584816,0.5584816,0,0,0,NA,NA,sp75_801,0,0,0,NA,NA,0,0,0,NA,NA,sp75_801,0,0,0,NA,NA,0,0,0,NA,NA,sp75_801,0,0,0,NA,NA,0,0,0,NA,NA
sp75_802,5,0,5,0.355935,0.9924667,3,0,3,0.355935,0.9924667,sp75_802,2,0,2,0.8036665,0.9924667,2,0,2,0.8036665,0.9924667,sp75_802,3,0,3,0.355935,0.6218705,1,0,1,0.355935,0.355935,sp75_802,3,0,3,0.355935,0.9924667,3,0,3,0.355935,0.9924667,sp75_802,2,0,2,0.3677045,0.6218705,0,0,0,NA,NA,sp75_802,3,0,3,0.355935,0.8036665,2,0,2,0.355935,0.8036665,sp75_802,1,0,1,0.3677045,0.3677045,0,0,0,NA,NA,sp75_802,1,0,1,0.9924667,0.9924667,1,0,1,0.9924667,0.9924667,sp75_802,1,0,1,0.3677045,0.3677045,0,0,0,NA,NA,sp75_802,2,0,2,0.355935,0.6218705,1,0,1,0.355935,0.355935,sp75_802,0,0,0,NA,NA,0,0,0,NA,NA,sp75_802,2,0,2,0.8036665,0.9924667,2,0,2,0.8036665,0.9924667
sp75_803,4,4,0,1.000861,1.035073,2,2,0,1.000861,1.003153,sp75_803,3,3,0,1.000861,1.035073,2,2,0,1.000861,1.003153,sp75_803,1,1,0,1.003838,1.003838,0,0,0,NA,NA,sp75_803,1,1,0,1.003153,1.003153,1,1,0,1.003153,1.003153,sp75_803,3,3,0,1.000861,1.035073,1,1,0,1.000861,1.000861,sp75_803,0,0,0,NA,NA,0,0,0,NA,NA,sp75_803,1,1,0,1.035073,1.035073,0,0,0,NA,NA,sp75_803,3,3,0,1.000861,1.003838,2,2,0,1.000861,1.003153,sp75_803,0,0,0,NA,NA,0,0,0,NA,NA,sp75_803,1,1,0,1.003838,1.003838,0,0,0,NA,NA,sp75_803,0,0,0,NA,NA,0,0,0,NA,NA,sp75_803,3,3,0,1.000861,1.035073,2,2,0,1.000861,1.003153
sp75_803_2,15,3,12,4.39E-12,3.553532,15,3,12,4.39E-12,3.553532,sp75_803_2,3,0,3,0.6217654,0.9944241,3,0,3,0.6217654,0.9944241,sp75_803_2,12,3,9,4.39E-12,3.553532,12,3,9,4.39E-12,3.553532,sp75_803_2,6,0,6,0.1462091,0.9944241,6,0,6,0.1462091,0.9944241,sp75_803_2,9,3,6,4.39E-12,3.553532,9,3,6,4.39E-12,3.553532,sp75_803_2,5,1,4,4.39E-12,3.536985,5,1,4,4.39E-12,3.536985,sp75_803_2,5,1,4,7.31E-10,3.553532,5,1,4,7.31E-10,3.553532,sp75_803_2,5,1,4,0.7171268,1.014723,5,1,4,0.7171268,1.014723,sp75_803_2,3,3,0,1.014723,3.553532,3,3,0,1.014723,3.553532,sp75_803_2,3,0,3,4.39E-12,0.7171268,3,0,3,4.39E-12,0.7171268,sp75_803_2,0,0,0,NA,NA,0,0,0,NA,NA,sp75_803_2,9,0,9,0.1462091,0.9944241,9,0,9,0.1462091,0.9944241
sp75_804,3,0,3,0.8375167,0.9766837,2,0,2,0.8375167,0.9766837,sp75_804,1,0,1,0.9766837,0.9766837,1,0,1,0.9766837,0.9766837,sp75_804,2,0,2,0.8375167,0.951281,1,0,1,0.8375167,0.8375167,sp75_804,1,0,1,0.8375167,0.8375167,1,0,1,0.8375167,0.8375167,sp75_804,2,0,2,0.951281,0.9766837,1,0,1,0.9766837,0.9766837,sp75_804,3,0,3,0.8375167,0.9766837,2,0,2,0.8375167,0.9766837,sp75_804,0,0,0,NA,NA,0,0,0,NA,NA,sp75_804,0,0,0,NA,NA,0,0,0,NA,NA,sp75_804,0,0,0,NA,NA,0,0,0,NA,NA,sp75_804,0,0,0,NA,NA,0,0,0,NA,NA,sp75_804,0,0,0,NA,NA,0,0,0,NA,NA,sp75_804,3,0,3,0.8375167,0.9766837,2,0,2,0.8375167,0.9766837
sp75_805,5,3,2,0.1130047,1.818218,3,1,2,0.1130047,1.818218,sp75_805,2,1,1,0.5215465,1.000735,1,0,1,0.5215465,0.5215465,sp75_805,3,2,1,0.1130047,1.818218,2,1,1,0.1130047,1.818218,sp75_805,2,1,1,0.1130047,1.818218,2,1,1,0.1130047,1.818218,sp75_805,3,2,1,0.5215465,1.284415,1,0,1,0.5215465,0.5215465,sp75_805,2,2,0,1.284415,1.818218,1,1,0,1.818218,1.818218,sp75_805,2,0,2,0.1130047,0.5215465,2,0,2,0.1130047,0.5215465,sp75_805,1,1,0,1.000735,1.000735,0,0,0,NA,NA,sp75_805,2,0,2,0.1130047,0.5215465,2,0,2,0.1130047,0.5215465,sp75_805,0,0,0,NA,NA,0,0,0,NA,NA,sp75_805,2,2,0,1.284415,1.818218,1,1,0,1.818218,1.818218,sp75_805,1,1,0,1.000735,1.000735,0,0,0,NA,NA
sp75_806,11,8,3,3.14E-11,2.065222,8,5,3,3.14E-11,2.065222,sp75_806,5,4,1,0.5871851,1.343379,2,1,1,0.5871851,1.102704,sp75_806,6,4,2,3.14E-11,2.065222,6,4,2,3.14E-11,2.065222,sp75_806,1,0,1,0.4620255,0.4620255,1,0,1,0.4620255,0.4620255,sp75_806,10,8,2,3.14E-11,2.065222,7,5,2,3.14E-11,2.065222,sp75_806,1,1,0,1.102704,1.102704,1,1,0,1.102704,1.102704,sp75_806,6,3,3,3.14E-11,2.065222,4,1,3,3.14E-11,2.065222,sp75_806,4,4,0,1.009892,1.024202,3,3,0,1.021088,1.024202,sp75_806,3,1,2,3.14E-11,1.021088,3,1,2,3.14E-11,1.021088,sp75_806,1,1,0,2.065222,2.065222,1,1,0,2.065222,2.065222,sp75_806,3,2,1,0.4620255,1.164826,2,1,1,0.4620255,1.023707,sp75_806,4,4,0,1.009892,1.343379,2,2,0,1.024202,1.102704
sp75_807,11,11,0,1.000089,1.069236,3,3,0,1.000089,1.069236,sp75_807,6,6,0,1.000089,1.017889,1,1,0,1.000089,1.000089,sp75_807,5,5,0,1.000294,1.069236,2,2,0,1.043123,1.069236,sp75_807,2,2,0,1.030739,1.069135,0,0,0,NA,NA,sp75_807,9,9,0,1.000089,1.069236,3,3,0,1.000089,1.069236,sp75_807,3,3,0,1.005946,1.030739,0,0,0,NA,NA,sp75_807,4,4,0,1.017328,1.069236,2,2,0,1.043123,1.069236,sp75_807,4,4,0,1.000089,1.000346,1,1,0,1.000089,1.000089,sp75_807,0,0,0,NA,NA,0,0,0,NA,NA,sp75_807,2,2,0,1.000346,1.017889,0,0,0,NA,NA,sp75_807,6,6,0,1.000104,1.069236,1,1,0,1.069236,1.069236,sp75_807,3,3,0,1.000089,1.069135,2,2,0,1.000089,1.043123
sp75_808,3,3,0,1.005102,1.511991,0,0,0,NA,NA,sp75_808,1,1,0,1.005102,1.005102,0,0,0,NA,NA,sp75_808,2,2,0,1.288924,1.511991,0,0,0,NA,NA,sp75_808,2,2,0,1.005102,1.288924,0,0,0,NA,NA,sp75_808,1,1,0,1.511991,1.511991,0,0,0,NA,NA,sp75_808,1,1,0,1.288924,1.288924,0,0,0,NA,NA,sp75_808,1,1,0,1.511991,1.511991,0,0,0,NA,NA,sp75_808,1,1,0,1.005102,1.005102,0,0,0,NA,NA,sp75_808,1,1,0,1.511991,1.511991,0,0,0,NA,NA,sp75_808,0,0,0,NA,NA,0,0,0,NA,NA,sp75_808,1,1,0,1.005102,1.005102,0,0,0,NA,NA,sp75_808,1,1,0,1.288924,1.288924,0,0,0,NA,NA
sp75_809,3,0,3,0.9066969,0.9982493,0,0,0,NA,NA,sp75_809,0,0,0,NA,NA,0,0,0,NA,NA,sp75_809,3,0,3,0.9066969,0.9982493,0,0,0,NA,NA,sp75_809,1,0,1,0.9971915,0.9971915,0,0,0,NA,NA,sp75_809,2,0,2,0.9066969,0.9982493,0,0,0,NA,NA,sp75_809,1,0,1,0.9066969,0.9066969,0,0,0,NA,NA,sp75_809,0,0,0,NA,NA,0,0,0,NA,NA,sp75_809,2,0,2,0.9971915,0.9982493,0,0,0,NA,NA,sp75_809,2,0,2,0.9971915,0.9982493,0,0,0,NA,NA,sp75_809,1,0,1,0.9066969,0.9066969,0,0,0,NA,NA,sp75_809,0,0,0,NA,NA,0,0,0,NA,NA,sp75_809,0,0,0,NA,NA,0,0,0,NA,NA
sp75_810,5,5,0,1.013409,1.300582,0,0,0,NA,NA,sp75_810,4,4,0,1.013409,1.089328,0,0,0,NA,NA,sp75_810,1,1,0,1.300582,1.300582,0,0,0,NA,NA,sp75_810,1,1,0,1.300582,1.300582,0,0,0,NA,NA,sp75_810,4,4,0,1.013409,1.089328,0,0,0,NA,NA,sp75_810,4,4,0,1.013409,1.089328,0,0,0,NA,NA,sp75_810,1,1,0,1.300582,1.300582,0,0,0,NA,NA,sp75_810,0,0,0,NA,NA,0,0,0,NA,NA,sp75_810,1,1,0,1.089328,1.089328,0,0,0,NA,NA,sp75_810,1,1,0,1.089315,1.089315,0,0,0,NA,NA,sp75_810,2,2,0,1.02131,1.300582,0,0,0,NA,NA,sp75_810,1,1,0,1.013409,1.013409,0,0,0,NA,NA
sp75_811,5,4,1,0.7248973,1.002019,3,2,1,0.7248973,1.001615,sp75_811,3,2,1,0.7248973,1.002019,2,1,1,0.7248973,1.000316,sp75_811,2,2,0,1.001007,1.001615,1,1,0,1.001615,1.001615,sp75_811,2,1,1,0.7248973,1.002019,1,0,1,0.7248973,0.7248973,sp75_811,3,3,0,1.000316,1.001615,2,2,0,1.000316,1.001615,sp75_811,0,0,0,NA,NA,0,0,0,NA,NA,sp75_811,1,0,1,0.7248973,0.7248973,1,0,1,0.7248973,0.7248973,sp75_811,4,4,0,1.000316,1.002019,2,2,0,1.000316,1.001615,sp75_811,0,0,0,NA,NA,0,0,0,NA,NA,sp75_811,0,0,0,NA,NA,0,0,0,NA,NA,sp75_811,1,1,0,1.001007,1.001007,0,0,0,NA,NA,sp75_811,4,3,1,0.7248973,1.002019,3,2,1,0.7248973,1.001615
sp75_812,13,1,12,0.0993311,1.493893,8,0,8,0.0993311,0.9786019,sp75_812,9,0,9,0.0993311,0.9927855,8,0,8,0.0993311,0.9786019,sp75_812,4,1,3,0.5279349,1.493893,0,0,0,NA,NA,sp75_812,12,0,12,0.0993311,0.9927855,8,0,8,0.0993311,0.9786019,sp75_812,1,1,0,1.493893,1.493893,0,0,0,NA,NA,sp75_812,4,1,3,0.1693245,1.493893,3,0,3,0.1693245,0.5517685,sp75_812,4,0,4,0.0993311,0.5279349,3,0,3,0.0993311,0.4135952,sp75_812,5,0,5,0.9722991,0.9927855,2,0,2,0.9722991,0.9786019,sp75_812,4,1,3,0.0993311,1.493893,3,0,3,0.0993311,0.9722991,sp75_812,4,0,4,0.1001389,0.99025,3,0,3,0.1001389,0.9786019,sp75_812,5,0,5,0.4135952,0.9927855,2,0,2,0.4135952,0.5517685,sp75_812,0,0,0,NA,NA,0,0,0,NA,NA
sp75_814,5,1,4,0.4251259,30928.1,3,1,2,0.7052819,30928.1,sp75_814,2,0,2,0.9186744,0.9896548,1,0,1,0.9896548,0.9896548,sp75_814,3,1,2,0.4251259,30928.1,2,1,1,0.7052819,30928.1,sp75_814,3,1,2,0.4251259,30928.1,2,1,1,0.9896548,30928.1,sp75_814,2,0,2,0.7052819,0.9186744,1,0,1,0.7052819,0.7052819,sp75_814,0,0,0,NA,NA,0,0,0,NA,NA,sp75_814,4,1,3,0.4251259,30928.1,2,1,1,0.7052819,30928.1,sp75_814,1,0,1,0.9896548,0.9896548,1,0,1,0.9896548,0.9896548,sp75_814,0,0,0,NA,NA,0,0,0,NA,NA,sp75_814,0,0,0,NA,NA,0,0,0,NA,NA,sp75_814,1,1,0,30928.1,30928.1,1,1,0,30928.1,30928.1,sp75_814,4,0,4,0.4251259,0.9896548,2,0,2,0.7052819,0.9896548
sp75_815,19,17,2,0.8340556,4.149411,8,8,0,1.001267,2.15351,sp75_815,6,6,0,1.001267,1.35797,5,5,0,1.001267,1.35797,sp75_815,13,11,2,0.8340556,4.149411,3,3,0,1.004857,2.15351,sp75_815,7,6,1,0.9935788,4.149411,1,1,0,1.508735,1.508735,sp75_815,12,11,1,0.8340556,2.15351,7,7,0,1.001267,2.15351,sp75_815,7,6,1,0.8340556,2.941591,3,3,0,1.094779,1.508735,sp75_815,4,4,0,1.35797,4.149411,2,2,0,1.35797,2.15351,sp75_815,8,7,1,0.9935788,1.014917,3,3,0,1.001267,1.004857,sp75_815,2,2,0,1.002103,4.149411,0,0,0,NA,NA,sp75_815,6,6,0,1.004395,2.941591,3,3,0,1.004395,1.314418,sp75_815,9,9,0,1.001267,3.519466,5,5,0,1.001267,2.15351,sp75_815,2,0,2,0.8340556,0.9935788,0,0,0,NA,NA
sp75_816,2,0,2,0.7754237,0.9992377,0,0,0,NA,NA,sp75_816,0,0,0,NA,NA,0,0,0,NA,NA,sp75_816,2,0,2,0.7754237,0.9992377,0,0,0,NA,NA,sp75_816,1,0,1,0.7754237,0.7754237,0,0,0,NA,NA,sp75_816,1,0,1,0.9992377,0.9992377,0,0,0,NA,NA,sp75_816,0,0,0,NA,NA,0,0,0,NA,NA,sp75_816,1,0,1,0.7754237,0.7754237,0,0,0,NA,NA,sp75_816,1,0,1,0.9992377,0.9992377,0,0,0,NA,NA,sp75_816,0,0,0,NA,NA,0,0,0,NA,NA,sp75_816,0,0,0,NA,NA,0,0,0,NA,NA,sp75_816,0,0,0,NA,NA,0,0,0,NA,NA,sp75_816,2,0,2,0.7754237,0.9992377,0,0,0,NA,NA
sp75_818,7,7,0,1.005777,8.06744,3,3,0,1.038078,8.06744,sp75_818,3,3,0,1.005777,1.384954,1,1,0,1.384954,1.384954,sp75_818,4,4,0,1.038078,8.06744,2,2,0,1.038078,8.06744,sp75_818,5,5,0,1.005777,8.06744,3,3,0,1.038078,8.06744,sp75_818,2,2,0,1.212451,1.569685,0,0,0,NA,NA,sp75_818,0,0,0,NA,NA,0,0,0,NA,NA,sp75_818,5,5,0,1.212451,8.06744,2,2,0,1.384954,8.06744,sp75_818,2,2,0,1.005777,1.038078,1,1,0,1.038078,1.038078,sp75_818,0,0,0,NA,NA,0,0,0,NA,NA,sp75_818,0,0,0,NA,NA,0,0,0,NA,NA,sp75_818,2,2,0,1.384954,8.06744,2,2,0,1.384954,8.06744,sp75_818,5,5,0,1.005777,5.969711,1,1,0,1.038078,1.038078
sp75_819,8,5,3,0.0659152,2.280689,2,1,1,0.0659152,2.280689,sp75_819,4,3,1,0.7926302,2.164716,0,0,0,NA,NA,sp75_819,4,2,2,0.0659152,2.280689,2,1,1,0.0659152,2.280689,sp75_819,1,0,1,0.0659152,0.0659152,1,0,1,0.0659152,0.0659152,sp75_819,7,5,2,0.573903,2.280689,1,1,0,2.280689,2.280689,sp75_819,4,4,0,1.335951,2.164716,0,0,0,NA,NA,sp75_819,4,1,3,0.0659152,2.280689,2,1,1,0.0659152,2.280689,sp75_819,0,0,0,NA,NA,0,0,0,NA,NA,sp75_819,1,1,0,2.164716,2.164716,0,0,0,NA,NA,sp75_819,3,3,0,1.825787,2.280689,1,1,0,2.280689,2.280689,sp75_819,2,1,1,0.573903,1.335951,0,0,0,NA,NA,sp75_819,2,0,2,0.0659152,0.7926302,1,0,1,0.0659152,0.0659152
sp75_820,8,8,0,1.001503,4.605592,3,3,0,1.004134,1.068483,sp75_820,4,4,0,1.004134,1.068483,3,3,0,1.004134,1.068483,sp75_820,4,4,0,1.001503,4.605592,0,0,0,NA,NA,sp75_820,2,2,0,1.007243,4.605592,1,1,0,1.007243,1.007243,sp75_820,6,6,0,1.001503,1.303414,2,2,0,1.004134,1.068483,sp75_820,3,3,0,1.068483,4.605592,1,1,0,1.068483,1.068483,sp75_820,2,2,0,1.05657,1.150249,0,0,0,NA,NA,sp75_820,3,3,0,1.001503,1.007243,2,2,0,1.004134,1.007243,sp75_820,3,3,0,1.150249,4.605592,0,0,0,NA,NA,sp75_820,1,1,0,1.004134,1.004134,1,1,0,1.004134,1.004134,sp75_820,1,1,0,1.001503,1.001503,0,0,0,NA,NA,sp75_820,3,3,0,1.007243,1.068483,2,2,0,1.007243,1.068483
sp75_821,12,8,4,0.0119049,3.030401,6,3,3,0.0119049,1.137919,sp75_821,10,7,3,0.0119049,3.030401,6,3,3,0.0119049,1.137919,sp75_821,2,1,1,0.364492,1.003364,0,0,0,NA,NA,sp75_821,7,3,4,0.0119049,3.030401,3,0,3,0.0119049,0.526014,sp75_821,5,5,0,1.000566,1.137919,3,3,0,1.000566,1.137919,sp75_821,3,3,0,1.038666,3.030401,1,1,0,1.137919,1.137919,sp75_821,4,0,4,0.0119049,0.526014,3,0,3,0.0119049,0.526014,sp75_821,5,5,0,1.000566,1.03636,2,2,0,1.000566,1.002399,sp75_821,7,5,2,0.0119049,3.030401,3,2,1,0.0119049,1.137919,sp75_821,0,0,0,NA,NA,0,0,0,NA,NA,sp75_821,2,1,1,0.0700721,1.038666,1,0,1,0.0700721,0.0700721,sp75_821,3,2,1,0.526014,1.010339,2,1,1,0.526014,1.000566
